剧名,集数,制作,首播,主演,题材
世界归还给你（下）,,,,,
七月与安生,53,2018,7月22日 爱奇艺,沈月、陈都灵、熊梓淇、邹廷威、梁靖康、徐小飒（客串:曾黎、刘涛）,青春
奋斗吧，少年！,40,2018,7月22日 湖南卫视青春进行时,彭昱畅、董力、张逸杰、谢彬彬、朱致灵、徐可,青春
青年霍元甲之威震津门,46,2018,7月22日 南京教科频道,李浩轩、刘一烊、巩汉林、申军谊,古装
舞法天女绚彩归来,33,2018,7月23日 腾讯视频,穆梦娇、克拉拉·卡米力、乌苏娜·艾米莉,青少
浅情人不知,40,2018,7月24日 安徽/深圳卫视,胡耘豪、康宁、赵毅新,都市
加油，你是最棒的,44,2018,7月31日 湖南卫视金鹰独播剧场,邓伦、马思纯、韩童生、倪虹洁,都市
小欢喜,49,2018,7月31日 浙江/东方卫视,黄磊、海清、陶虹、王砚辉、咏梅,都市
烈火军校,48,2018,8月6日 爱奇艺,白鹿、许凯、李程彬、吴佳怡、王一哲、李俊逸、刘润南、洪尧、高雨儿、邵兵、刘敏、林佑威（客串:尹正、安悦溪、董力、左小青、方安娜、李勤勤）,民初
读心,41,2017,8月8日 优酷,李小璐、李佳航、李泽锋、陈小纭、陈依莎、黄俊鹏,都市
上道,28,2016,8月9日 爱奇艺,向佐、贡米、唐晓天、涂黎曼、张南、洪顺辉、张锦程,科幻
山月不知心底事,48,2018,8月20日 江苏卫视,宋茜、欧豪、孙铱、唐禹哲、夏宁骏、万潼、林田媛、丁勇岱、温峥嵘、杨童舒,都市
遇见幸福,42,2018,8月26日 湖南卫视金鹰独播剧场,蒋欣、李光洁、郭京飞、刘孜、刘佩琦、钱芳、张绍荣、洪剑涛、刘威,都市
顾靖尧与林湘君,39,2017,8月28日 厦视三套,,
最美的安排,48,2018,8月29日 央视八套,范明、颜丹晨、温玉娟、周铁,都市
我的莫格利男孩,50,2018,8月29日 爱奇艺（首播），2020年4月12日 深圳卫视（上星）,马天宇、杨紫、傅孟柏、任言恺、黄灿灿、王真儿,都市
拜托啦师兄,38,2018,8月30日 优酷,徐开骋、刘帅良、范津玮、王家珧,青春
