web-scraper-order,web-scraper-start-url,score,review,5star,4star,3star,2star,1star,director,writer,actor,genre,country,language,Premiere,season,Episode,Episode Length,aka,IMDb,name,link,link-href,channel,permission
"1689865655-1","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 沈华","","周扬","类型: 纪录片","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-15(中国大陆)","季数: 1","集数: 6","单集片长: 24分钟","","","大脑深处","大脑深处2023 / 中国大陆 / 纪录片 / 沈华 / 周扬暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36221145","",""
"1689865676-2","https://movie.douban.com/tv/","","暂无评分","","","","","","","","","类型: 纪录片","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-02-13(中国大陆)","","集数: 5","单集片长: 45分钟","","","扎什伦布","扎什伦布2023 / 中国大陆 / 纪录片暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36243754","",""
"1689865697-3","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 吕芃","","吴奇隆 / 林峯 / 丁禹兮 / 林允 / 金晨 / 蔡文静更多...","类型: 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-03-11(中国大陆)","","集数: 12","单集片长: 90","又名: 追星3、探险季","","追星星的人 第三季","追星星的人 第三季2023 / 中国大陆 / 真人秀 / 吕芃 / 吴奇隆 林峯暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36155075","哔哩哔哩","VIP免费观看"
"1689865718-4","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 王梓萱","","张栋梁 / 何洁 / 王啸坤 / 吴莫愁 / 胡宇桐","类型: 音乐 / 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-02-03(中国大陆)","","集数: 12","单集片长: 75分钟","又名: No.17 Live House","","17号音乐仓库","17号音乐仓库2023 / 中国大陆 / 音乐 真人秀 / 王梓萱 / 张栋梁 何洁暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36198624","",""
"1689865739-5","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 金睿","编剧: 戴小板","鲁照华 / 朱致灵 / 严若曦 / 赫楚","类型: 剧情 / 爱情 / 短片 / 奇幻 / 古装","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-01(中国大陆)","","集数: 24","单集片长: 12分钟","又名: 穿越美人在作妖","","城主是我的","城主是我的2023 / 中国大陆 / 剧情 爱情 短片 奇幻 古装 / 金睿 / 鲁照华 朱致灵暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36206712","腾讯视频","VIP免费观看"
"1689865760-6","https://movie.douban.com/tv/","","暂无评分","","","","","","","","吾皇猫 / 巴扎黑 / 少年","类型: 动画","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-02(中国大陆)","","集数: 13","","又名: 吾皇巴扎黑","","关喵什么事","关喵什么事2023 / 中国大陆 / 动画 / 吾皇猫 巴扎黑暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36140903","",""
"1689865781-7","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 文鸿毅","","吴俊余 / 陈欣予 / 甘望星","类型: 爱情 / 短片 / 古装","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-03-11(中国大陆)","","集数: 26","单集片长: 10分钟","又名: 战王宠妃之倾世小狂医","","倾世小狂医","倾世小狂医2023 / 中国大陆 / 爱情 短片 古装 / 文鸿毅 / 吴俊余 陈欣予暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/35970079","腾讯视频","VIP免费观看"
"1689865802-8","https://movie.douban.com/tv/","","暂无评分","","","","","","","","杨子姗 / 周轶君 / 齐溪 / 张末 / 麦子 / 李少红更多...","类型: 脱口秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-02-06(中国大陆网络)","","集数: 12","单集片长: 15分钟","又名: The View She Finds","","她的取景器","她的取景器2023 / 中国大陆 / 脱口秀 / 杨子姗 周轶君暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36226192","腾讯视频","免费观看"
"1689865823-9","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 刘建华","编剧: 赵成浩 / 李仁杰 / 刘国宝 / 王娟 / 刘夏 / 刘禹霆","巩峥 / 曲尼次仁 / 刘向京 / 赵婷婷 / 何政军 / 沈丹萍 / 杨童舒 / 陆剑民 / 刘禹霆 / 李婉媚 / 何德乾更多...","类型: 历史","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-05-05(中国大陆)","","集数: 32","","又名: 雪线之上 / 雪线","","雪莲花盛开的地方","雪莲花盛开的地方2023 / 中国大陆 / 历史 / 刘建华 / 巩峥 曲尼次仁暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/34605017","哔哩哔哩","VIP免费观看"
"1689865844-10","https://movie.douban.com/tv/","","暂无评分","","","","","","","","管泽元 / 王瀚哲 / 王骁 / 王可蓉 / 欣小萌 / 韩小沐更多...","类型: 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-05-06(中国大陆)","","集数: 4","","","","令人澎湃的西藏","令人澎湃的西藏2023 / 中国大陆 / 真人秀 / 管泽元 王瀚哲暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36379076","",""
"1689865865-11","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 杜亭君","","王培根 / 周蓉倩 / 李佳繁 / 李卓媚","类型: 悬疑 / 惊悚 / 短片","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-05-05(中国大陆)","","集数: 26","单集片长: 6","又名: How to Kill a  Mystery Novel Writer","","悬疑作者求生指南","悬疑作者求生指南2023 / 中国大陆 / 悬疑 惊悚 短片 / 杜亭君 / 王培根 周蓉倩暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36394540","腾讯视频","VIP免费观看"
"1689865886-12","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 孙硕 / 陈敏航 / 周半癫","编剧: 曹梦伊","曹云图 / 徐佳琦 / 张振 / 任磊 / 胡良伟 / 简单 / 路杨 / 段艺璇 / 黄建弘 / 郭政建 / 杨希 / 赵铭洲更多...","类型: 动画","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-05(中国大陆)","","集数: 10","单集片长: 7分钟","","","这个年纪还能当大侠吗","这个年纪还能当大侠吗2023 / 中国大陆 / 动画 / 孙硕 陈敏航 周半癫 / 曹云图 徐佳琦暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36207060","",""
"1689865907-13","https://movie.douban.com/tv/","","暂无评分","","","","","","","","","类型: 音乐 / 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-12(中国大陆)","","集数: 2","","又名: 大侦探第八季 侦心侦意新春演唱会","","侦心侦意新春演唱会","侦心侦意新春演唱会2023 / 中国大陆 / 音乐 真人秀暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36218112","",""
"1689865928-14","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 严典雅","","王濛 / 周洋 / 刘雨昕 / 范世錡 / 姚琛","类型: 运动 / 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-02-17(中国大陆)","","集数: 10","单集片长: 90分钟","又名: 运动者联濛 第二季","","运动者联盟","运动者联盟2023 / 中国大陆 / 运动 真人秀 / 严典雅 / 王濛 周洋暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36212102","咪咕视频","VIP免费观看"
"1689865928-15","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 严典雅","","王濛 / 周洋 / 刘雨昕 / 范世錡 / 姚琛","类型: 运动 / 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-02-17(中国大陆)","","集数: 10","单集片长: 90分钟","又名: 运动者联濛 第二季","","运动者联盟","运动者联盟2023 / 中国大陆 / 运动 真人秀 / 严典雅 / 王濛 周洋暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36212102","芒果TV","VIP免费观看"
"1689865949-16","https://movie.douban.com/tv/","7.7","862人评价","23.7%","23.7%","12.4%","4.1%","5.3%","导演: 颜芳","","龙洋 / 康震 / 蒙曼 / 郦波 / 杨雨","类型: 脱口秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-25(中国大陆)","","集数: 10","单集片长: 90分钟","","","2023中国诗词大会","2023中国诗词大会2023 / 中国大陆 / 脱口秀 / 颜芳 / 龙洋 康震7.7","https://www.douban.com/doubanapp/dispatch?uri=/tv/36219861","央视频","免费观看"
"1689865970-17","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 欧丁丁","编剧: 杨笑一 / 欧学琳 / 欧丁丁","孙嘉俊 / 成止微 / 邢昀 / 孙彩纶 / 李槿 / 郭一扬 / 雷皓翔 / 季丹妮 / 蒋涛 / 王辰昊 / 吴方圆 / 卢勉达 / 周雨铭 / 赵一霖 / 宋佩泽 / 裘姝琦更多...","类型: 剧情 / 悬疑","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-03-06(中国大陆)","","集数: 10","单集片长: 10分钟","又名: 深夜惊奇","","嘘！看手机","嘘！看手机2023 / 中国大陆 / 剧情 悬疑 / 欧丁丁 / 孙嘉俊 成止微暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/35350809","腾讯视频","VIP免费观看"
"1689865991-18","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 韦liang","","张逸杰 / 王路晴 / 任运杰 / 厉家兵 / 张新童","类型: 剧情 / 爱情 / 奇幻","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-04-12(中国大陆)","","集数: 23","单集片长: 23分钟","","","可爱的坏家伙","可爱的坏家伙2023 / 中国大陆 / 剧情 爱情 奇幻 / 韦liang / 张逸杰 王路晴暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/35936769","爱奇艺视频","VIP免费观看"
"1689866012-19","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 胡东升","","韩雨彤 / 周彦哲 / 汪颖菲 / 王皓轩","类型: 剧情 / 爱情 / 短片 / 奇幻","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-02-22(中国大陆)","","集数: 30","单集片长: 7分钟","","","如何在无脑霸总漫里艰难求生","如何在无脑霸总漫里艰难求生2023 / 中国大陆 / 剧情 爱情 短片 奇幻 / 胡东升 / 韩雨彤 周彦哲暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36251694","优酷视频","VIP免费观看"
"1689866033-20","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 王启蘅","","金沫汐 / 蒙恩 / 吴承泽 / 蔡祥宇 / 叶舒予","类型: 剧情 / 喜剧","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-31(中国大陆)","","集数: 20","","","","公子贵姓","公子贵姓2023 / 中国大陆 / 剧情 喜剧 / 王启蘅 / 金沫汐 蒙恩暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/35919476","爱奇艺视频","VIP免费观看"
"1689866054-21","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 吴桐","编剧: 沈磊 / 赵鹤松 / 宁若愚 / 逍遥红尘 / 孙彦斌 / 邢思聪 / 韩有容 / 刘八宝","王艺瑾 / 陈子由 / 庞勇 / 脑门额尔德尼 / 郁子阳 / 陈丹 / 徐言语更多...","类型: 古装","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-17(中国大陆)","","集数: 30","单集片长: 8分钟","","","开局一座山","开局一座山2023 / 中国大陆 / 古装 / 吴桐 / 王艺瑾 陈子由暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/35725912","腾讯视频","VIP免费观看"
"1689866075-22","https://movie.douban.com/tv/","4.7","4607人评价","7.8%","7.8%","22.3%","22.8%","35.8%","导演: 马文瀚","","岳云鹏 / 王耀庆 / 王濛 / 孟鹤堂 / 吴昕 / 释小龙 / 郝劭文 / 李雪琴 / 张继科 / 金志文 / 张佳宁更多...","类型: 脱口秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-15(中国大陆)","","集数: 11","","","","今晚开放麦","今晚开放麦2023 / 中国大陆 / 脱口秀 / 马文瀚 / 岳云鹏 王耀庆4.7","https://www.douban.com/doubanapp/dispatch?uri=/tv/36156480","爱奇艺视频","VIP免费观看"
"1689866075-23","https://movie.douban.com/tv/","4.7","4607人评价","7.8%","7.8%","22.3%","22.8%","35.8%","导演: 马文瀚","","岳云鹏 / 王耀庆 / 王濛 / 孟鹤堂 / 吴昕 / 释小龙 / 郝劭文 / 李雪琴 / 张继科 / 金志文 / 张佳宁更多...","类型: 脱口秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-15(中国大陆)","","集数: 11","","","","今晚开放麦","今晚开放麦2023 / 中国大陆 / 脱口秀 / 马文瀚 / 岳云鹏 王耀庆4.7","https://www.douban.com/doubanapp/dispatch?uri=/tv/36156480","腾讯视频","VIP免费观看"
"1689866075-24","https://movie.douban.com/tv/","4.7","4607人评价","7.8%","7.8%","22.3%","22.8%","35.8%","导演: 马文瀚","","岳云鹏 / 王耀庆 / 王濛 / 孟鹤堂 / 吴昕 / 释小龙 / 郝劭文 / 李雪琴 / 张继科 / 金志文 / 张佳宁更多...","类型: 脱口秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-15(中国大陆)","","集数: 11","","","","今晚开放麦","今晚开放麦2023 / 中国大陆 / 脱口秀 / 马文瀚 / 岳云鹏 王耀庆4.7","https://www.douban.com/doubanapp/dispatch?uri=/tv/36156480","优酷视频","VIP免费观看"
"1689866096-25","https://movie.douban.com/tv/","6.3","1096人评价","3.6%","3.6%","51.8%","7.1%","7.1%","导演: 一鸣 / 苑明","编剧: 王鹏 / 于田华 / 沈焕瑜 / 何小红 / 朱小莉","袁昊 / 柴碧云 / 李宗翰 / 王薇 / 唐振超 / 张博源 / 张颖颖 / 史超 / 孙中艺 / 钱波 / 冯嘉怡 / 董维嘉 / 梁缘更多...","类型: 爱情 / 悬疑","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-03-28(中国大陆)","","集数: 40","单集片长: 45分钟","","IMDb: tt27663547","许你春风野马","许你春风野马2023 / 中国大陆 / 爱情 悬疑 / 一鸣 苑明 / 袁昊 柴碧云6.3","https://www.douban.com/doubanapp/dispatch?uri=/tv/35295529","芒果TV","VIP免费观看"
"1689866117-26","https://movie.douban.com/tv/","8.6","579人评价","46.9%","46.9%","12.5%","1.3%","0.0%","导演: 翁子光","","梁朝伟","类型: 纪录片 / 短片","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-02-02(中国大陆)","","集数: 6","","","","这一刻，梁朝伟对你说","这一刻，梁朝伟对你说2023 / 中国大陆 / 纪录片 短片 / 翁子光 / 梁朝伟8.6","https://www.douban.com/doubanapp/dispatch?uri=/tv/36227357","",""
"1689866138-27","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 吴俊贤 / 季海涛","编剧: 向警 / 黄洛俪 / 张婷","王广源 / 朱丽岚 / 柯博伦 / 杨诗倩","类型: 剧情 / 爱情","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-05-03(中国大陆)","","集数: 20","单集片长: 10分钟","又名: Love stories on campus","","你的我的那场暗恋","你的我的那场暗恋2023 / 中国大陆 / 剧情 爱情 / 吴俊贤 季海涛 / 王广源 朱丽岚暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36371979","腾讯视频","VIP免费观看"
"1689866159-28","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 邢冬冬","","邵庄 / 杨羽","类型: 动作 / 悬疑","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-01(中国大陆)","","集数: 1","单集片长: 21","","","下游特工 试播集","下游特工 试播集2023 / 中国大陆 / 动作 悬疑 / 邢冬冬 / 邵庄 杨羽暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36207072","",""
"1689866180-29","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 元德","编剧: 夏蕾","王鹤润 / 张赫 / 张亮 / 郑皓原 / 柯乃予 / 梦秦 / 高海诚 / 邓钢 / 于清斌 / 吴元俊 / 赵志喆 / 言羽 / 刘静怡 / 黄柳嫣更多...","类型: 爱情 / 历史","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-03-21(中国大陆)","","集数: 35","单集片长: 45分钟","又名: 大清最后的格格：步云衢","","步云衢","步云衢2023 / 中国大陆 / 爱情 历史 / 元德 / 王鹤润 张赫暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/26959545","优酷视频","VIP免费观看"
"1689866201-30","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 吕海党","编剧: 盗海 / 露蘇","王钧浩 / 白昕怡 / 郭康敏 / 姚安妮 / 郑为之 / 周蓉倩更多...","类型: 剧情 / 爱情","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-11(中国大陆)","季数: 1","集数: 18","单集片长: 10","又名: Summer In Love","","夏日不宜入爱河","夏日不宜入爱河2023 / 中国大陆 / 剧情 爱情 / 吕海党 / 王钧浩 白昕怡暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36209115","腾讯视频","VIP免费观看"
"1689866222-31","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 肖麓西","编剧: 李有材 / 肖麓西","刘大锁 / 于莎莎 / 李胤维  / 张天逸 / 穆丽燕 / 李菁 / 美娜 / 李嘉鑫 / 刘巴特尔 / 孙若飞 / 高洪泰 / 朱江 / 殷玥 / 李昕瞳 / 李想 / 葛铮 / 江璐 / 李慧 / 刘宇菲 / 贾金金 / 吴英哲 / 朴光浩 / 马克 / 王勇 / 江明洋 / 马歌 / 单敬尧 / 大脸 / 邱俊熹 / 姜无寒 / 邵妞妞 / 王心新 / 萧祥恩更多...","类型: 喜剧","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-02-08(中国大陆)","","集数: 19","单集片长: 8分钟","","","亲爱的乘客，你好","亲爱的乘客，你好2023 / 中国大陆 / 喜剧 / 肖麓西 / 刘大锁 于莎莎暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36017559","腾讯视频","VIP免费观看"
"1689866243-32","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 赵天扬","","张凯丽 / 尹浩宇 / 邓春玲 / 内谷 / 杜一新 / 杜欣然 / 姚爱芳 / 潘燕 / 张淦敏（菲利普） / 张悦儿 / 孙玮佳 / 陶羿辰 / 王静蓉 / 晨子 / 聂爱国 / 聂诗更多...","类型: 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-04-18(中国大陆)","","集数: 8","","","","当我们遇见你","当我们遇见你2023 / 中国大陆 / 真人秀 / 赵天扬 / 张凯丽 尹浩宇暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36178585","哔哩哔哩","免费观看"
"1689866264-33","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 陈子隽 / 沈华 / 陈东 / 刘稳","编剧: 陈瑶","汪品先 / 王浩 / 胡兆量 / 葛剑雄 / 姚大力 / 韩茂莉更多...","类型: 纪录片 / 历史","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-01(中国大陆)","季数: 1","集数: 6","单集片长: 50分钟","","","大地之上","大地之上2023 / 中国大陆 / 纪录片 历史 / 陈子隽 沈华 陈东 刘稳 / 汪品先 王浩暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36206986","",""
"1689866285-34","https://movie.douban.com/tv/","","暂无评分","","","","","","","","","类型: 爱情 / 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-03-22(中国大陆)","","","","","","好友好有爱","好友好有爱2023 / 中国大陆 / 爱情 真人秀暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36320155","腾讯视频","VIP免费观看"
"1689866314-35","https://movie.douban.com/tv/","5.4","554人评价","3.7%","3.7%","31.5%","31.5%","13.0%","导演: 贾炳祺","编剧: 沙依娇","李胤维  / 何花 / 黄澄澄 / 罗辑 / 曹曦月 / 刘人语 / 杨祺如 / 范薇 / 金丰 / 王嘉莉 / 陈碧舸 / 马剑越更多...","类型: 剧情 / 爱情 / 短片","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-02-21(中国大陆)","","集数: 15","单集片长: 5分钟","又名: 假如给我一个女朋友","","我的女友们","我的女友们2023 / 中国大陆 / 剧情 爱情 短片 / 贾炳祺 / 李胤维  何花5.4","https://www.douban.com/doubanapp/dispatch?uri=/tv/36244024","腾讯视频","VIP免费观看"
"1689866343-36","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 刘爱东","编剧: 李逊唯 / 延婧","王祖一 / 邵羽柒 / 侯东 / 韩雨彤 / 郑楠汐 / 李李宗翰 / 周语婷 / 吴大锤更多...","类型: 爱情 / 短片","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-28(中国大陆)","","集数: 24","单集片长: 10分钟","又名: Love at second sight","","二见钟情","二见钟情2023 / 中国大陆 / 爱情 短片 / 刘爱东 / 王祖一 邵羽柒暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36221976","腾讯视频","VIP免费观看"
"1689866372-37","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 张馨元","编剧: 牟思颖","林柏叡 / 严智超 / 吴骏超","类型: 爱情","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-09(中国大陆)","","集数: 15","单集片长: 10分钟","又名: 盲少爷的小女仆2023 / 盲少爷的小女仆剧版","","盲少爷的小女仆","盲少爷的小女仆2023 / 中国大陆 / 爱情 / 张馨元 / 林柏叡 严智超暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36208155","爱奇艺视频","VIP免费观看"
"1689866393-38","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 西岛","编剧: 怀玉 / 胡文逸","刘奕畅 / 徐若晗 / 夏宁骏 / 秦杉 / 王嘉萌 / 金翀 / 何聪睿 / 于昕仡 / 高天妮 / 徐宏杰更多...","类型: 喜剧","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-08(中国大陆)","","集数: 24","单集片长: 40分钟","又名: 公子不可逑 / 这坑爹的穿越游戏","","公子不可求","公子不可求2023 / 中国大陆 / 喜剧 / 西岛 / 刘奕畅 徐若晗暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/35295059","优酷视频","VIP免费观看"
"1689866414-39","https://movie.douban.com/tv/","5.3","1587人评价","6.9%","6.9%","28.7%","25.7%","20.8%","导演: 王琴","","汪涵","类型: 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-03-03(中国大陆)","","集数: 12","单集片长: 90分钟","又名: 我想和你唱2023","","我想和你唱4","我想和你唱42023 / 中国大陆 / 真人秀 / 王琴 / 汪涵5.3","https://www.douban.com/doubanapp/dispatch?uri=/tv/36243266","芒果TV","VIP免费观看"
"1689866443-40","https://movie.douban.com/tv/","6.6","1844人评价","10.1%","10.1%","47.1%","10.5%","4.2%","","","","类型: 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-06(中国大陆)","","集数: 12","","","","最强大脑 第十季","最强大脑 第十季2023 / 中国大陆 / 真人秀6.6","https://www.douban.com/doubanapp/dispatch?uri=/tv/36206654","腾讯视频","VIP免费观看"
"1689866443-41","https://movie.douban.com/tv/","6.6","1844人评价","10.1%","10.1%","47.1%","10.5%","4.2%","","","","类型: 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-06(中国大陆)","","集数: 12","","","","最强大脑 第十季","最强大脑 第十季2023 / 中国大陆 / 真人秀6.6","https://www.douban.com/doubanapp/dispatch?uri=/tv/36206654","优酷视频","VIP免费观看"
"1689866443-42","https://movie.douban.com/tv/","6.6","1844人评价","10.1%","10.1%","47.1%","10.5%","4.2%","","","","类型: 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-06(中国大陆)","","集数: 12","","","","最强大脑 第十季","最强大脑 第十季2023 / 中国大陆 / 真人秀6.6","https://www.douban.com/doubanapp/dispatch?uri=/tv/36206654","爱奇艺视频","VIP免费观看"
"1689866464-43","https://movie.douban.com/tv/","6.8","997人评价","8.9%","8.9%","40.1%","9.4%","3.0%","导演: 李伟基","编剧: 杨佳绎 / 李林瀚 / 葛震松","秦晓轩 / 王奕婷 / 夏楠 / 陈涛 / 李淑婷 / 龙水婷 / 白冰可更多...","类型: 奇幻 / 冒险","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-16(中国大陆)","","集数: 24","单集片长: 45分钟","","","画江湖之换世门生","画江湖之换世门生2023 / 中国大陆 / 奇幻 冒险 / 李伟基 / 秦晓轩 王奕婷6.8","https://www.douban.com/doubanapp/dispatch?uri=/tv/35633770","优酷视频","VIP免费观看"
"1689866464-44","https://movie.douban.com/tv/","6.8","997人评价","8.9%","8.9%","40.1%","9.4%","3.0%","导演: 李伟基","编剧: 杨佳绎 / 李林瀚 / 葛震松","秦晓轩 / 王奕婷 / 夏楠 / 陈涛 / 李淑婷 / 龙水婷 / 白冰可更多...","类型: 奇幻 / 冒险","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-16(中国大陆)","","集数: 24","单集片长: 45分钟","","","画江湖之换世门生","画江湖之换世门生2023 / 中国大陆 / 奇幻 冒险 / 李伟基 / 秦晓轩 王奕婷6.8","https://www.douban.com/doubanapp/dispatch?uri=/tv/35633770","爱奇艺视频","VIP免费观看"
"1689866485-45","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 曾海若 / 陈予涵","编剧: 曾海若","苏扬 / 葛兰 / 上海彩虹室内合唱团 / 海霞 / 潘悟云 / 曹志耘 / 陈保亚更多...","类型: 纪录片","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-21(中国大陆)","季数: 1","集数: 7","单集片长: 50分钟","又名: Tongues of China","","中国话","中国话2023 / 中国大陆 / 纪录片 / 曾海若 陈予涵 / 苏扬 葛兰暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36221173","哔哩哔哩","VIP免费观看"
"1689866506-46","https://movie.douban.com/tv/","","暂无评分","","","","","","","","李佳琦","类型: 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-05-18(中国大陆)","季数: 1","集数: 7","单集片长: 75","","","所有女生的主播","所有女生的主播2023 / 中国大陆 / 真人秀 / 李佳琦暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36395359","",""
"1689866536-47","https://movie.douban.com/tv/","","暂无评分","","","","","","","","陆虎 / 陈曌旭 / 周艺轩 / 陈梦瑶 / 靖佩瑶 / 吕妍更多...","类型: 爱情 / 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-25(中国大陆)","","","","又名: 妻子的浪漫旅行衍生综艺 / All the Way to Marriage","","恋爱到结婚的距离","恋爱到结婚的距离2023 / 中国大陆 / 爱情 真人秀 / 陆虎 陈曌旭暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36220359","芒果TV","VIP免费观看"
"1689866557-48","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 张劲","","秦昊 / 岳云鹏 / 金靖 / 黄明昊 / 王子异","类型: 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-07(中国大陆)","","集数: 10","","","","极限挑战宝藏行·国家公园季","极限挑战宝藏行·国家公园季2023 / 中国大陆 / 真人秀 / 张劲 / 秦昊 岳云鹏暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36207697","优酷视频","VIP免费观看"
