score,review,5star,4star,3star,2star,1star,writer,actor,genre,country,language,Premiere,season,Episode,Episode Length,aka,IMDb,name,link-href,director,channel,permission
7.9,3068人评价,30.5%,30.5%,15.6%,4.8%,3.0%,编剧: 金铁木 / 江安君 / 白慧博,刘木子 / 刘鸣,类型: 纪录片 / 历史,制片国家/地区: 中国大陆,语言: 汉语普通话,2021-05-13(中国大陆),季数: 1,集数: 7,单集片长: 30分钟,,,新鲜博物馆之进击的大秦,https://www.douban.com/doubanapp/dispatch?uri=/tv/35455989,导演: 金铁木 / 段智溢,腾讯视频,VIP免费观看
8.0,638人评价,23.7%,23.7%,25.9%,0.0%,0.0%,编剧: 牛丰沛/陶书豪/李轶嘉/武亮,,类型: 纪录片 / 短片,制片国家/地区: 中国大陆,语言: 汉语普通话 / 粤语,2021-07-19(中国大陆),,集数: 6,单集片长: 15分钟,又名: 最后一家店铺,,最后一个店铺,https://www.douban.com/doubanapp/dispatch?uri=/tv/35510732,导演: 牛丰沛/陶书豪/李轶嘉/武亮,哔哩哔哩,VIP免费观看
8.0,638人评价,23.7%,23.7%,25.9%,0.0%,0.0%,编剧: 牛丰沛/陶书豪/李轶嘉/武亮,,类型: 纪录片 / 短片,制片国家/地区: 中国大陆,语言: 汉语普通话 / 粤语,2021-07-19(中国大陆),,集数: 6,单集片长: 15分钟,又名: 最后一家店铺,,最后一个店铺,https://www.douban.com/doubanapp/dispatch?uri=/tv/35510732,导演: 牛丰沛/陶书豪/李轶嘉/武亮,央视频,免费观看
8.3,251人评价,44.4%,44.4%,20.6%,1.6%,1.6%,,,类型: 纪录片,制片国家/地区: 中国大陆,语言: 汉语普通话,2021-06-23(中国大陆),,集数: 12,单集片长: 20分钟,,,奔赴山海,https://www.douban.com/doubanapp/dispatch?uri=/tv/35510820,导演: 李爽 / 张允平 / 张睿 / 徐江军 / 郭容非 / 吴争 / 黄思源 / 李珩 / 梁淞 / 赵可儿 / 明浩 / 邸思悦,哔哩哔哩,免费观看
8.5,1082人评价,46.8%,46.8%,11.3%,1.6%,1.6%,,黄志忠 / 葛剑雄 / 吴伯凡 / 王永生 / 关正文 / 李晓杰更多...,类型: 纪录片,制片国家/地区: 中国大陆,语言: 汉语普通话,2021-05-18(中国大陆),季数: 1,集数: 10,单集片长: 40,,,隐秘的细节,https://www.douban.com/doubanapp/dispatch?uri=/tv/35472119,导演: 关正文,,
8.9,1860人评价,61.7%,61.7%,10.2%,1.1%,1.1%,,丁真珍珠,类型: 纪录片 / 短片,制片国家/地区: 中国大陆,语言: 汉语普通话,2021-07-06(中国大陆),,集数: 8,单集片长: 15分钟,,,丁真的自然笔记,https://www.douban.com/doubanapp/dispatch?uri=/tv/35516647,导演: 赵可儿,,
,暂无评分,,,,,,,,类型: 纪录片,制片国家/地区: 中国大陆,语言: 汉语普通话,2021-01-31(中国大陆),,集数: 10,单集片长: 13分钟,,,凝固的诗·探秘中国民居之美,https://www.douban.com/doubanapp/dispatch?uri=/tv/35918700,导演: 朱世一 / 朱厚真 / 楚华 / 赖瑗 / 李珂 / 王琳琳 / 卢梅 / 王抒灵 / 张聪 / 周智敏,哔哩哔哩,免费观看
,暂无评分,,,,,,编剧: 胡亮 / 洛小酒 / 季平常,谢添天 / 鹏小胖 / 醋醋 / 沈达威 / 万苏婉 / 筱筝 / 孙晔 / 赵洋 / 孟祥龙 / 王宇航 / 许棕哲 / 黑石稔 / 不一 / 高其昌 / 忙音 / 吕书君更多...,类型: 科幻 / 动画 / 悬疑 / 冒险,制片国家/地区: 中国大陆,语言: 汉语普通话,2021-07-27(中国大陆),,集数: 20,单集片长: 20分钟,又名: 夜行者：平妖二十年 / The Chronicles of the Ranger,,游侠战纪,https://www.douban.com/doubanapp/dispatch?uri=/tv/35170381,导演: 胡亮,腾讯视频,VIP免费观看
,暂无评分,,,,,,,,类型: 纪录片,制片国家/地区: 中国大陆,语言: 汉语普通话,,,,,,,落脚城市,https://www.douban.com/doubanapp/dispatch?uri=/tv/35633784,,,
,暂无评分,,,,,,编剧: 潘斌 / 老陈 / 小K / 安哥,李沛 / 醋醋 / 倪康 / 富贵 / 修缘 / 沈达威 / 赵洋 / 黑石稔 / 杨鸥 / 十四 / 小巫 / 忙音 / 筱筝 / vila / 不一 / 钱坤 / 小忻 / 吕书君 / 郭鸿博 / 卞云鹏更多...,类型: 动作 / 动画 / 奇幻 / 冒险 / 武侠 / 古装,制片国家/地区: 中国大陆,语言: 汉语普通话,2021-12-08(中国大陆),,集数: 20,单集片长: 20分钟,又名: Legend of Sho,,蜀山奇仙录,https://www.douban.com/doubanapp/dispatch?uri=/tv/35170374,导演: 潘斌,腾讯视频,VIP免费观看
