剧名,集数,制作,首播,主演,题材
公子，我娶定你了2,24,2020,8月8日 爱奇艺,鹤男、邱士纶、柏程俊、文渊,古装
暗格里的秘密,24,2021,8月10日 芒果tv,陈哲远、徐梦洁,都市
双镜,12,2020,8月12日 bilibili,张楠、孙伊涵,民初
洪洞大槐树之寻根记,10,2019,8月17日 优酷,,青少
机智的上半场,24,2020,8月18日 优酷,沈月、章若楠、梁靖康,都市
安得广厦千万间,24,2019,8月18日 腾讯视频,天爱、丹尼斯·吴,青春
迷你特工队细菌大作战,18,,8月19日 优酷,李玉胜,儿童
试婚99天,24,2020,8月20日 爱奇艺,陈泽、王珮寒、李砚,都市
百灵潭,32,2020,8月22日 芒果TV,郭俊辰、康宁、魏天浩,古装
画罪师,12,2019,8月23日 优酷,袁福福、常鹤凡,古装
魔法学院第5季海螺的声音,16,2020,8月23日 腾讯视频/爱奇艺,赵梓冰、黄媛萱、王文嘉、吴思泽,儿童
最酷的世界,40,2019,8月25日 优酷/爱奇艺,周雨彤、王东、李宏毅,都市
天目危机,12,2018,8月25日 芒果TV,张睿、何杜娟、张孝全,悬疑
满月之下请相爱,24,2020,8月26日 爱奇艺,鞠婧祎、郑业成,都市
逢君正当时,12,2020,8月27日 腾讯视频,朱丽岚、黄天崎,古装
云南虫谷,16,2019,8月30日 腾讯视频,潘粤明、张雨绮、姜超,探险
春来枕星河,24,2020,8月31日 爱奇艺,罗正、黄日莹,古装
最好的朋友,24,2020,9月4日 bilibili,徐新驰、陈沐、王悦伊,青春
双面神探,26,2020,9月7日 芒果TV,林雨申、刘怡潼、罗予彤、龙政璇,涉案
程序员那么可爱,30,2020,9月10日 腾讯视频,邢昭林、祝绪丹,都市
捕快姐姐郝可爱,12,2020,9月13日 腾讯视频,辜芷芸、蒋熠铭、刘禹霆,古装
启航：当风起时,36,2020,9月14日 腾讯视频,吴磊、侯明昊、毛晓慧,改革
